# Pathway	SH10_merge_Abundance	SH11_merge_Abundance	SH12_merge_Abundance	SH13_merge_Abundance	SH14_merge_Abundance	SH15_merge_Abundance	SH16_merge_Abundance	SH17_merge_Abundance	SH18_merge_Abundance	SH19_merge_Abundance	SH1_merge_Abundance	SH20_merge_Abundance	SH21_merge_Abundance	SH22_merge_Abundance	SH23_merge_Abundance	SH24_merge_Abundance	SH25_merge_Abundance	SH26_merge_Abundance	SH27_merge_Abundance	SH28_merge_Abundance	SH29_merge_Abundance	SH2_merge_Abundance	SH30_merge_Abundance	SH31_merge_Abundance	SH3_merge_Abundance	SH4_merge_Abundance	SH5_merge_Abundance	SH6_merge_Abundance	SH7_merge_Abundance	SH8_merge_Abundance	SH9_merge_Abundance	YK32_merge_Abundance	YK33_merge_Abundance	YK34_merge_Abundance	YK35_merge_Abundance	YK36_merge_Abundance	YK37_merge_Abundance	YK38_merge_Abundance	YK39_merge_Abundance	YK40_merge_Abundance	YK41_merge_Abundance	YK42_merge_Abundance	YK43_merge_Abundance	YK44_merge_Abundance	YK45_merge_Abundance	YK46_merge_Abundance	YK47_merge_Abundance	YK48_merge_Abundance	YK49_merge_Abundance	YK50_merge_Abundance	YK51_merge_Abundance	YK52_merge_Abundance	YK53_merge_Abundance	YK54_merge_Abundance	YK55_merge_Abundance	YK56_merge_Abundance	YK57_merge_Abundance	YK58_merge_Abundance	YK59_merge_Abundance	YK60_merge_Abundance	YK61_merge_Abundance	YK62_merge_Abundance
UNMAPPED	0.709782	0.796089	0.774317	0.753326	0.712693	0.0883718	0.722451	0.78453	0.80956	0.718026	0.76258	0.786051	0.732317	0.809596	0.816135	0.772227	0.772941	0.727211	0.725675	0.776289	0.81109	0.852206	0.756518	0.832735	0.766502	0.76958	0.661443	0.736169	0.770622	0.715012	0.753972	0.659773	0.774289	0.713486	0.839387	0.795643	0.671518	0.790008	0.807084	0.826146	0.724676	0.701282	0.737801	0.814564	0.825643	0.848949	0.795566	0.794258	0.816011	0.747615	0.829386	0.79279	0.784831	0.806153	0.823845	0.802146	0.840895	0.830997	0.783954	0.818425	0.837543	0.0722252
UNINTEGRATED	0.255479	0.174626	0.196126	0.215325	0.252635	0.843495	0.244048	0.185899	0.162923	0.248598	0.202795	0.18513	0.231658	0.163695	0.156775	0.196235	0.196239	0.238588	0.241738	0.19413	0.162604	0.122175	0.212017	0.142887	0.200198	0.199175	0.297583	0.228415	0.197149	0.247556	0.213984	0.294869	0.19134	0.248682	0.134159	0.174311	0.288556	0.178156	0.164119	0.14681	0.239166	0.26083	0.229688	0.158792	0.148727	0.127797	0.176661	0.178123	0.156621	0.219478	0.144441	0.177403	0.185483	0.165804	0.14929	0.169165	0.134437	0.14317	0.186178	0.153841	0.137491	0.855218
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0.00115412	0	0.00474817	0	0.00120509	0	0	0	0	0	0	0.000413825	0	0	0.000974869	0	0	0	0	0	0	0	0.000999821	0	0	0	0.000512479	0	0	0	0	0	0	0	0	0	0	0	0	0.000763488	0.00105808	0	0	0.00070202	0	0	0	0.00143867	0.0055337	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_schindleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000357087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.45364e-05	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000593697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_sp_494a	0	0	0	0	0.000610736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55792e-05	0.000237334	0.00978667	0.000300224	0.00610275	0	0.000311041	0	0	0.00135596	0	0	0	0.00695601	0.00132674	0.000550108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_sp_992a	0	0	0	0	0.00166449	0	0.000987552	0	0	0	0.00203371	0	0	0	0	0	0.000582766	0.0198926	0.0248787	0	0	0	0	0	0.000265493	0.00136092	0.000181462	0.00110212	0.00871342	0.00916199	0.00105692	0.00934791	0.00058835	0.00112014	0	0	0.00289577	0.000703614	0.00095921	0	0.00419635	0.00110262	0.00108678	0	0	0	0	0	0	0.00126077	0	0	0	0.00101456	0.00181056	0.00169178	0	0	0.00240575	0	0	0
UNINTEGRATED|g__Bacillaceae_unclassified.s__Bacillaceae_bacterium_EAG3	0.00178243	0	0	0	0	0	0	0	0	0	0	0.000418288	0	0	0	0	9.96272e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03505e-05	0	0	0.00193931	0	0	0	0	0	0	0	0	0	0	0	6.66621e-05	0	0	0	0	0	0	0	0	0	0	0	0.000208854	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_altitudinis	0	0	0.000247336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_aryabhattai	0.000141623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_circulans	0.000369231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000243807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_megaterium	0.000339113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_pumilus	0	0	0.000237658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000489448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_safensis	0	0	0.000283149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_sp_7586_K	0.000524612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_sp_FJAT_27916	0.00011437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_sp_FJAT_27986	0.000165554	0	0	0	0	0	0	0	0	0	0	0.000685032	0	0	0	0	0	0	0	0	0	0.00105991	0	0	0	0	0	0	0	0	0	0	0	0	0	7.49177e-05	0	0	0	0	0	0	0	0	0	0	0	0.00037055	0	0	0	0	0.000891526	0.000184847	0	0	0	0	0	0.000357248	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_subtilis_group	0.00154819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119903	0	0	0	0.00750438	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0.00100264	0	0	0	0	0	0	0	0.00511461	0	0	0.00415304	0	0	0	0.00252409	0.00303614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00404473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000546025	0	0.000868432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_criceti	0	0	0	0	0.000181143	0	0	0	0	0	3.62507e-05	0	0	0	0	0	0	0	0	0	0	0	0	5.47999e-05	0.000603675	0	3.59371e-05	0.000320368	0	6.25962e-05	3.77216e-05	9.54811e-05	5.67114e-05	0.000445429	0	0	0.000620371	0	0	0	0	0.000342767	0	0	0	0	0	0	0	3.28342e-05	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0.109819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062434
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_merycicum	0	0	0	0	0.00414704	0	0	0	0	0	0	0.00130754	0	0	0	0.000560683	0	0.00393937	0	0	0	0	0	0.000265863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00150874	0	0	0	0.00124911	0.000641069	0	0	0.00512784	0	0	0.00103815	0	0	0	0	0	0.00282412	0.000681759	0	0.0129744	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0	0.00153988	0.000987511	0	0.00831204	0	0	0.00014641	0	0	0.00632429	0	0	0	0	0.0024822	0	0.00772024	0	0.00174432	0	0	0	0.00234075	0.0151658	0.00597167	0.00850186	0.019159	0.0024084	0.00935496	0.00729715	0.0201938	0.00750332	0.0216781	0	0	0.0564515	0.00263943	0.00031539	0.000624011	0.00272193	0.0454056	0.00394348	0	0	0	0	0	0	0.000850004	0	0.000567704	0	0	0	0.000604331	0.000649261	0	0.00374683	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_ruminantium	0	0	0	0	0	0	0	0	0	0	0	8.21722e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10299e-05	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000230531	0	0.000633442	0	0	0	0	0.000270383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00793118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Campylobacter.s__Campylobacter_lanienae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042148	0	0	0	0	0	0	0
UNINTEGRATED|g__Cellulosilyticum.s__Cellulosilyticum_lentocellum	0	0	0	0	0	0	0	0	0	0	0.00114151	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00173407	0	0.000113904	0.000423437	0	0	0	0	0.0015387	0	0	0	0	0.000795262	0	0	0	0.000363538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_bornimense	0	0	0	0	0	0	0	0	0	0	0.000440111	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106232	0	0.000352206	0.000929515	0	0.00157626	0	0.00656252	0.000525207	0.000579897	0	0	0.00461899	0.000322345	0	0	0.000956372	0.00186544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_butyricum	0	0	0	0	0	0	0	0	0	0	0.00113905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.42293e-05	0.000690997	0	0	0	0	0.000622668	0.000783538	0	0	0.00343291	0	0	0	0	0.00156559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_celatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000334297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230552	0.00154735	0.000629687	0	0	0	0	0	0	0	0.000592443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
